Date,Impressions,CTR,Clicks,CPC,Cost,ROI,Revenue,Device,Market
2023-01-01,2555856,0.234,598070,1.623,970667.61,0.967,938635.579,Desktop,AU
2023-01-01,4090635,0.476,1947142,2.313,4503739.446,1.227,5526088.3,Desktop,US
2023-01-02,7222235,0.264,1906670,2.003,3819060.01,1.408,5377236.494,Desktop,CA
2023-01-03,790907,0.423,334553,0.66,220804.98,1.049,231624.424,Desktop,TR
2023-01-03,5107268,0.472,2410630,0.63,1518696.9,1.094,1661454.409,Desktop,UK
2023-01-04,6290383,0.83,5221017,0.483,2521751.211,1.059,2670534.532,Mobile,VN
2023-01-05,6342081,0.034,215630,1.401,302097.63,1.329,401487.75,Desktop,BR
2023-01-06,2730789,0.643,1755897,1.976,3469652.472,0.774,2685511.013,Desktop,AR
2023-01-06,8399994,0.528,4435196,2.116,9384874.736,1.358,12744659.891,Mobile,TH
2023-01-07,8179853,0.228,1865006,0.816,1521844.896,1.097,1669463.851,Mobile,SG
2023-01-08,4490820,0.32,1437062,1.98,2845382.76,0.882,2509627.594,Mobile,RU
2023-01-09,5156253,0.118,608437,0.593,360803.141,1.539,555276.034,Desktop,MY
2023-01-09,2406344,0.388,933661,1.977,1845847.797,1.153,2128262.51,Desktop,TH
2023-01-10,618371,0.647,400086,1.606,642538.116,1.286,826304.017,Mobile,GR
2023-01-11,5322462,0.961,5114885,1.486,7600719.11,0.88,6688632.817,Mobile,FR
2023-01-11,5527119,0.905,5002042,0.76,3801551.92,1.031,3919400.03,Desktop,JP
2023-01-12,133530,0.893,119242,2.262,269725.404,1.014,273501.56,Desktop,AU
2023-01-13,3171689,0.891,2825974,0.8,2260779.2,0.767,1734017.646,Desktop,VN
2023-01-14,8699569,0.285,2479377,0.455,1128116.535,1.526,1721505.832,Desktop,JP
2023-01-14,8781032,0.791,6945796,1.725,11981498.1,1.121,13431259.37,Mobile,FR
2023-01-15,4270726,0.971,4146874,0.135,559827.99,1.135,635404.769,Desktop,DE
2023-01-16,1339109,0.236,316029,0.688,217427.952,1.239,269393.233,Mobile,NL
2023-01-17,685010,0.931,637744,0.503,320785.232,1.271,407718.03,Desktop,US
