Market,clickshare
UK,0.060807312584871404
US,0.027079193513714243
ES,0.06702968590708207
JP,0.06811574806602479
AU,0.06296675086585327
BR,0.06092313270181969
MX,0.03481580124666678
DE,0.028076239876154437
FR,0.07641689003951334
IT,0.07823561238097794
CA,0.0788328113237592
CN,0.056541731291602296
IN,0.011432379458703018
RU,0.03349968131171772
ZA,0.0290175651954597
AR,0.04492990164412655
NL,0.08987557778698531
SE,0.042584568567812134
NO,0.06504450300014243
DK,0.04787562510184781
FI,0.06343315740834464
BE,0.07886058581134212
CH,0.059068879752336885
AT,0.0862221851510965
PL,0.021942229606781147
PT,0.018223954297114674
GR,0.010966295800531272
TR,0.05048050670524459
EG,0.09150546533571056
SA,0.09047344090120076
AE,0.08594046048574147
SG,0.08516316345842888
MY,0.05272674944376766
TH,0.07806484509813884
ID,0.05538495861990307
PH,0.08882567282089646
VN,0.045228496208472406
NZ,0.0963088715804908
KR,0.0774560700395991
IL,0.07945960941580993
